character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,emotion
Monica,S03,joy,bad,0.22718473369882572,bowl,0.1703885502741193,brave,0.1703885502741193,richard,0.1703885502741193,hummina,0.1703885502741193,outgoing,0.1703885502741193,push,0.1703885502741193,coupons,0.11359236684941286,competitive,0.11359236684941286,bunny,0.11359236684941286
Chandler,S04,joy,phone,0.20908334939572637,hall,0.15681251204679478,announcement,0.15681251204679478,opinion,0.10454167469786319,packing,0.10454167469786319,print,0.10454167469786319,weddings,0.10454167469786319,position,0.10454167469786319,monty,0.10454167469786319,shouldn,0.10454167469786319
Joey,S04,joy,abbey,0.21504133222818786,happened,0.21504133222818786,climb,0.1612809991711409,ace,0.1612809991711409,hat,0.1612809991711409,238,0.10752066611409393,america,0.10752066611409393,westminster,0.10752066611409393,unit,0.10752066611409393,geeks,0.10752066611409393
Ross,S04,joy,correct,0.5685352436149606,gentlemen,0.24873416908154525,questions,0.21320071635561022,ladies,0.1776672636296752,categories,0.14213381090374014,round,0.14213381090374014,necklace,0.10660035817780511,twice,0.10660035817780511,luckily,0.10660035817780511,rugby,0.10660035817780511
Rachel,S04,joy,joanna,0.3629330931556483,finished,0.15554275420956357,assistant,0.15554275420956357,knives,0.15554275420956357,bloomingdale,0.10369516947304237,betting,0.10369516947304237,altering,0.10369516947304237,cookbooks,0.10369516947304237,cowboy,0.10369516947304237,babe,0.10369516947304237
Phoebe,S04,joy,uterus,0.32152064852223705,smelly,0.18372608486984976,buffay,0.13779456365238732,rick,0.13779456365238732,jobs,0.13779456365238732,body,0.13779456365238732,massage,0.13779456365238732,appreciated,0.09186304243492488,completely,0.09186304243492488,colours,0.09186304243492488
Monica,S04,joy,couldn,0.2321035412742637,partners,0.17407765595569777,motorcycle,0.17407765595569777,hostess,0.17407765595569777,review,0.11605177063713185,tonsils,0.11605177063713185,rematch,0.11605177063713185,spice,0.11605177063713185,transponding,0.11605177063713185,salmon,0.11605177063713185
Chandler,S05,joy,rocks,0.18935832092934096,cooking,0.18935832092934096,bing,0.18935832092934096,pee,0.12623888061956065,sleep,0.12623888061956065,wake,0.12623888061956065,smoked,0.12623888061956065,months,0.12623888061956065,quack,0.12623888061956065,times,0.12623888061956065
Joey,S05,joy,twin,0.33562431103976853,katie,0.19178532059415346,route,0.19178532059415346,treat,0.1438389904456151,noodle,0.1438389904456151,smile,0.1438389904456151,figured,0.1438389904456151,born,0.1438389904456151,waving,0.09589266029707673,shutter,0.09589266029707673
Ross,S05,joy,seize,0.20000000000000012,opportunity,0.13333333333333341,sent,0.13333333333333341,return,0.13333333333333341,shush,0.13333333333333341,muffins,0.13333333333333341,history,0.13333333333333341,furniture,0.13333333333333341,focus,0.13333333333333341,divorce,0.13333333333333341
Rachel,S05,joy,frank,0.19127301391900153,gala,0.19127301391900153,bond,0.12751534261266767,whiskerson,0.12751534261266767,goodie,0.12751534261266767,underwear,0.12751534261266767,fit,0.12751534261266767,circus,0.12751534261266767,wedding,0.12751534261266767,miss,0.12751534261266767
Phoebe,S05,joy,bee,0.21566554640687657,joy,0.21566554640687657,christmas,0.16174915980515744,including,0.16174915980515744,las,0.16174915980515744,backup,0.10783277320343829,buffay,0.10783277320343829,checkout,0.10783277320343829,bones,0.10783277320343829,counter,0.10783277320343829
Monica,S05,joy,blah,0.21483446221183025,official,0.14322297480788684,photos,0.14322297480788684,lose,0.14322297480788684,trouble,0.14322297480788684,laundry,0.14322297480788684,pictures,0.14322297480788684,jersey,0.14322297480788684,hide,0.14322297480788684,culinary,0.14322297480788684
Chandler,S02,joy,pants,0.3049971406652093,yummy,0.15249857033260464,tip,0.15249857033260464,vidal,0.15249857033260464,ups,0.15249857033260464,tailor,0.15249857033260464,tension,0.15249857033260464,sweetums,0.15249857033260464,ran,0.15249857033260464,resistance,0.15249857033260464
Joey,S02,joy,men,0.5547001962252289,bijan,0.4160251471689217,new,0.27735009811261446,tribbiani,0.13867504905630723,young,0.13867504905630723,territory,0.13867504905630723,says,0.13867504905630723,sorta,0.13867504905630723,means,0.13867504905630723,ready,0.13867504905630723
Ross,S02,joy,tomorrow,0.2721655269759086,world,0.1360827634879543,wanted,0.1360827634879543,tells,0.1360827634879543,wakes,0.1360827634879543,tasted,0.1360827634879543,story,0.1360827634879543,supposed,0.1360827634879543,meant,0.1360827634879543,makes,0.1360827634879543
Rachel,S02,joy,sec,0.3049971406652093,happen,0.3049971406652093,ago,0.3049971406652093,talk,0.15249857033260464,week,0.15249857033260464,works,0.15249857033260464,problem,0.15249857033260464,paulo,0.15249857033260464,rrrooossss,0.15249857033260464,reasons,0.15249857033260464
Phoebe,S02,joy,person,0.38669459561826547,went,0.2900209467136991,bought,0.2900209467136991,bras,0.2900209467136991,huge,0.2900209467136991,pretty,0.19334729780913273,face,0.19334729780913273,doesn,0.19334729780913273,stopped,0.09667364890456637,trusts,0.09667364890456637
Monica,S02,joy,excellent,0.48038446141526137,huh,0.3202563076101742,thought,0.1601281538050871,mary,0.1601281538050871,tyler,0.1601281538050871,unbelievably,0.1601281538050871,question,0.1601281538050871,quality,0.1601281538050871,minutes,0.1601281538050871,moskowitz,0.1601281538050871
Chandler,ALL,surprise,think,1.0,umm,0.0,say,0.0,ross,0.0,joey,0.0,gonna,0.0,,,,,,,,
Joey,ALL,surprise,umm,0.0,think,0.0,say,0.0,ross,0.0,joey,0.0,gonna,0.0,,,,,,,,
Ross,ALL,surprise,umm,0.0,think,0.0,say,0.0,ross,0.0,joey,0.0,gonna,0.0,,,,,,,,
Rachel,ALL,surprise,umm,0.5084751798731267,gonna,0.5084751798731267,joey,0.41602514716892186,ross,0.41602514716892186,say,0.36980013081681945,think,0.0,,,,,,,,
Phoebe,ALL,surprise,umm,0.0,think,0.0,say,0.0,ross,0.0,joey,0.0,gonna,0.0,,,,,,,,
Monica,ALL,surprise,umm,0.0,think,0.0,say,0.0,ross,0.0,joey,0.0,gonna,0.0,,,,,,,,
Chandler,S09,surprise,dictionary,0.3511234415883916,monica,0.23408229439226108,waiter,0.23408229439226108,balcony,0.23408229439226108,words,0.11704114719613054,underwear,0.11704114719613054,technical,0.11704114719613054,tulsa,0.11704114719613054,uncle,0.11704114719613054,mail,0.11704114719613054
Joey,S09,surprise,fine,0.3922322702763681,george,0.3922322702763681,wrote,0.19611613513818404,yellow,0.19611613513818404,yesterday,0.19611613513818404,nooooo,0.19611613513818404,monkey,0.19611613513818404,meet,0.19611613513818404,great,0.19611613513818404,deal,0.19611613513818404
Ross,S09,surprise,uhm,0.5601120336112037,unusual,0.1400280084028009,things,0.1400280084028009,worked,0.1400280084028009,years,0.1400280084028009,thank,0.1400280084028009,physically,0.1400280084028009,posting,0.1400280084028009,quickly,0.1400280084028009,memorize,0.1400280084028009
Rachel,S09,surprise,surprised,0.35355339059327406,rap,0.35355339059327406,mommy,0.35355339059327406,butts,0.2651650429449555,room,0.17677669529663703,deny,0.17677669529663703,dressing,0.17677669529663703,lie,0.17677669529663703,brothers,0.17677669529663703,trying,0.17677669529663703
Phoebe,S09,surprise,surprising,0.29488391230979416,ooh,0.29488391230979416,hard,0.29488391230979416,understand,0.14744195615489708,totally,0.14744195615489708,seeing,0.14744195615489708,make,0.14744195615489708,relationship,0.14744195615489708,rachel,0.14744195615489708,step,0.14744195615489708
Monica,S09,surprise,pong,0.37139067635410367,ping,0.37139067635410367,way,0.18569533817705183,today,0.18569533817705183,year,0.18569533817705183,problem,0.18569533817705183,play,0.18569533817705183,ordering,0.18569533817705183,porn,0.18569533817705183,saturday,0.18569533817705183
Chandler,S01,surprise,late,0.31622776601683783,watched,0.15811388300841892,slept,0.15811388300841892,week,0.15811388300841892,stuffing,0.15811388300841892,room,0.15811388300841892,tribbiani,0.15811388300841892,slash,0.15811388300841892,ham,0.15811388300841892,looking,0.15811388300841892
Joey,S01,surprise,surprised,0.35355339059327373,sound,0.35355339059327373,big,0.35355339059327373,act,0.35355339059327373,dunno,0.35355339059327373,joe,0.35355339059327373,makes,0.35355339059327373,plus,0.35355339059327373,wants,0.0,watched,0.0
Ross,S01,surprise,yes,0.4264014327112207,farm,0.31980107453341555,millners,0.21320071635561036,chi,0.21320071635561036,touching,0.10660035817780518,wouldn,0.10660035817780518,wha,0.10660035817780518,toes,0.10660035817780518,seven,0.10660035817780518,skills,0.10660035817780518
Rachel,S01,surprise,isn,0.4743416490252568,curious,0.31622776601683783,mindy,0.31622776601683783,interview,0.31622776601683783,wants,0.15811388300841892,tomorrow,0.15811388300841892,tasted,0.15811388300841892,sounded,0.15811388300841892,paris,0.15811388300841892,gonna,0.15811388300841892
Phoebe,S01,surprise,little,0.4472135954999579,zoo,0.22360679774997896,turkey,0.22360679774997896,yuh,0.22360679774997896,second,0.22360679774997896,totally,0.22360679774997896,ooh,0.22360679774997896,vinyl,0.22360679774997896,head,0.22360679774997896,looks,0.22360679774997896
Monica,S01,surprise,syl,0.36514837167011077,aunt,0.36514837167011077,want,0.18257418583505539,uncle,0.18257418583505539,spirit,0.18257418583505539,mouth,0.18257418583505539,promise,0.18257418583505539,teensy,0.18257418583505539,lasagnas,0.18257418583505539,happened,0.18257418583505539
Chandler,S07,surprise,biology,0.49999999999999994,failed,0.3333333333333333,whoa,0.16666666666666666,worried,0.16666666666666666,sound,0.16666666666666666,new,0.16666666666666666,tonight,0.16666666666666666,tinsy,0.16666666666666666,remember,0.16666666666666666,pumpkins,0.16666666666666666
Joey,S07,surprise,thanks,0.29488391230979416,holy,0.29488391230979416,weekend,0.14744195615489708,vows,0.14744195615489708,time,0.14744195615489708,miracle,0.14744195615489708,smaller,0.14744195615489708,today,0.14744195615489708,room,0.14744195615489708,resume,0.14744195615489708
Ross,S07,surprise,professor,0.3015113445777636,brother,0.3015113445777636,gonna,0.3015113445777636,law,0.3015113445777636,stuff,0.1507556722888818,yes,0.1507556722888818,winston,0.1507556722888818,worse,0.1507556722888818,saw,0.1507556722888818,professors,0.1507556722888818
Rachel,S07,surprise,purse,0.32444284226152503,chimney,0.32444284226152503,vanilla,0.16222142113076252,wrap,0.16222142113076252,toilet,0.16222142113076252,seat,0.16222142113076252,sweep,0.16222142113076252,wonder,0.16222142113076252,smoke,0.16222142113076252,rings,0.16222142113076252
Phoebe,S07,surprise,wanted,0.23408229439226103,living,0.23408229439226103,mean,0.23408229439226103,massage,0.23408229439226103,gave,0.23408229439226103,wouldn,0.11704114719613051,worked,0.11704114719613051,yay,0.11704114719613051,spank,0.11704114719613051,sister,0.11704114719613051
Monica,S07,surprise,place,0.3049971406652093,getting,0.3049971406652093,years,0.15249857033260464,zones,0.15249857033260464,times,0.15249857033260464,true,0.15249857033260464,want,0.15249857033260464,youhoo,0.15249857033260464,story,0.15249857033260464,shocked,0.15249857033260464
Chandler,S08,surprise,soap,0.3922322702763681,actor,0.3922322702763681,world,0.19611613513818404,said,0.19611613513818404,murder,0.19611613513818404,makes,0.19611613513818404,poppers,0.19611613513818404,taste,0.19611613513818404,sticks,0.19611613513818404,tonight,0.19611613513818404
Joey,S08,surprise,sexually,0.41702882811414954,excellent,0.41702882811414954,work,0.20851441405707477,pretty,0.20851441405707477,laugh,0.20851441405707477,playing,0.20851441405707477,pregnant,0.20851441405707477,stay,0.20851441405707477,stuff,0.20851441405707477,watching,0.20851441405707477
Ross,S08,surprise,telling,0.426401432711221,weirder,0.2132007163556105,wonder,0.2132007163556105,uhhhhhh,0.2132007163556105,thing,0.2132007163556105,messin,0.2132007163556105,mention,0.2132007163556105,say,0.2132007163556105,rach,0.2132007163556105,shocked,0.2132007163556105
Rachel,S08,surprise,umm,0.40824829046386285,don,0.3061862178478972,ross,0.20412414523193143,look,0.20412414523193143,ladyfingers,0.20412414523193143,custard,0.20412414523193143,god,0.20412414523193143,layer,0.20412414523193143,want,0.10206207261596571,window,0.10206207261596571
Phoebe,S08,surprise,bing,0.426401432711221,unusual,0.2132007163556105,thank,0.2132007163556105,ugh,0.2132007163556105,ask,0.2132007163556105,hiring,0.2132007163556105,obvious,0.2132007163556105,question,0.2132007163556105,running,0.2132007163556105,stating,0.2132007163556105
Monica,S08,surprise,hey,0.3779644730092273,weirdest,0.18898223650461365,year,0.18898223650461365,think,0.18898223650461365,time,0.18898223650461365,understand,0.18898223650461365,maid,0.18898223650461365,promoted,0.18898223650461365,conversation,0.18898223650461365,apologize,0.18898223650461365
Chandler,S06,surprise,tight,0.31980107453341555,thank,0.31980107453341555,writing,0.21320071635561036,things,0.21320071635561036,college,0.21320071635561036,willing,0.10660035817780518,worried,0.10660035817780518,unbelievable,0.10660035817780518,wonderful,0.10660035817780518,yorker,0.10660035817780518
Joey,S06,surprise,vomiting,0.23570226039551587,turn,0.23570226039551587,serving,0.23570226039551587,stories,0.23570226039551587,good,0.23570226039551587,hanging,0.23570226039551587,land,0.23570226039551587,match,0.23570226039551587,message,0.23570226039551587,money,0.23570226039551587
Ross,S06,surprise,time,0.24618298195866542,talk,0.24618298195866542,maybe,0.24618298195866542,father,0.24618298195866542,come,0.24618298195866542,startling,0.12309149097933271,teacher,0.12309149097933271,threesome,0.12309149097933271,sedimentary,0.12309149097933271,student,0.12309149097933271
Rachel,S06,surprise,married,0.27854300726557796,gonna,0.27854300726557796,ursula,0.18569533817705197,phoebe,0.18569533817705197,boxes,0.18569533817705197,lot,0.18569533817705197,grapes,0.18569533817705197,ladyfingers,0.18569533817705197,layer,0.18569533817705197,sorry,0.18569533817705197
Phoebe,S06,surprise,weirdo,0.5773502691896257,core,0.5773502691896257,inexcusable,0.5773502691896257,writing,0.0,write,0.0,work,0.0,worried,0.0,wonderful,0.0,woman,0.0,yes,0.0
Monica,S06,surprise,wasn,0.24253562503633297,trying,0.24253562503633297,terrific,0.24253562503633297,refrigerator,0.24253562503633297,recreate,0.24253562503633297,picked,0.24253562503633297,pick,0.24253562503633297,sister,0.24253562503633297,started,0.24253562503633297,table,0.24253562503633297
Chandler,S10,surprise,works,0.24253562503633297,swimming,0.24253562503633297,skating,0.24253562503633297,obviously,0.24253562503633297,seven,0.24253562503633297,synchronized,0.24253562503633297,team,0.24253562503633297,hell,0.24253562503633297,help,0.24253562503633297,ago,0.24253562503633297
Joey,S10,surprise,bleu,0.3487429162314577,cup,0.3487429162314577,cow,0.23249527748763849,bye,0.23249527748763849,picture,0.11624763874381924,point,0.11624763874381924,sound,0.11624763874381924,nice,0.11624763874381924,standing,0.11624763874381924,personal,0.11624763874381924
