character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10
Phoebe,S04,uterus,0.25195450910155126,frank,0.23612148768284452,babies,0.20660630172248895,alice,0.14757592980177783,yay,0.14757592980177783,smelly,0.14397400520088643,takes,0.11806074384142226,jobs,0.10798050390066484,buffay,0.10798050390066484,massage,0.10798050390066484
Monica,S04,chip,0.20299625833999052,couldn,0.19804167517872687,sweetie,0.16239700667199242,partners,0.14853125638404516,hostess,0.14853125638404516,motorcycle,0.14853125638404516,viva,0.09902083758936343,cleaned,0.09902083758936343,rematch,0.09902083758936343,salmon,0.09902083758936343
Chandler,S05,anniversary,0.19443677052338723,dream,0.15554941641870978,suite,0.15554941641870978,roll,0.15554941641870978,rocks,0.1422683257773407,bing,0.1422683257773407,cooking,0.1422683257773407,paying,0.11666206231403235,massages,0.11666206231403235,geller,0.11666206231403235
Joey,S05,twin,0.2759562329859461,break,0.1616343276122233,route,0.15768927599196922,katie,0.15768927599196922,fireball,0.12930746208977864,hour,0.12930746208977864,scene,0.12930746208977864,born,0.11826695699397692,smile,0.11826695699397692,noodle,0.11826695699397692
Ross,S05,couch,0.2507388147972668,news,0.16715920986484453,seize,0.1528868540510582,marriage,0.1253694073986334,shot,0.1253694073986334,team,0.1253694073986334,downstairs,0.1253694073986334,shush,0.10192456936737214,furniture,0.10192456936737214,opportunity,0.10192456936737214
Rachel,S05,danny,0.19782157258198302,couch,0.1582572580655864,gala,0.14474496700455236,frank,0.14474496700455236,terrific,0.11869294354918981,news,0.11869294354918981,drink,0.11869294354918981,sexy,0.11869294354918981,interview,0.11869294354918981,unless,0.11869294354918981
Phoebe,S05,bee,0.17272324347533105,joy,0.17272324347533105,cup,0.14163553049002153,birthday,0.14163553049002153,holidays,0.14163553049002153,larry,0.14163553049002153,cups,0.14163553049002153,selfless,0.14163553049002153,including,0.1295424326064983,las,0.1295424326064983
Monica,S05,anniversary,0.22496158468506486,danny,0.1799692677480519,blah,0.16460316601232589,freak,0.13497695081103891,food,0.13497695081103891,team,0.13497695081103891,culinary,0.10973544400821726,charming,0.10973544400821726,award,0.10973544400821726,birthdays,0.10973544400821726
Chandler,S02,pants,0.279866535770951,come,0.22949456287847336,appeal,0.1399332678854755,alike,0.1399332678854755,anybody,0.1399332678854755,code,0.1399332678854755,tip,0.1399332678854755,tension,0.1399332678854755,altered,0.1399332678854755,crack,0.1399332678854755
Joey,S02,men,0.48698809945848753,bijan,0.3652410745938657,new,0.24349404972924377,later,0.19966860400864772,kinda,0.19966860400864772,listen,0.19966860400864772,tribbiani,0.12174702486462188,cup,0.12174702486462188,understood,0.12174702486462188,blows,0.12174702486462188
Ross,S02,julie,0.40121312831169625,rach,0.24072787698701778,breast,0.24072787698701778,milk,0.24072787698701778,tomorrow,0.19571030689015587,rachel,0.1604852513246785,beautiful,0.09785515344507793,baby,0.09785515344507793,aunt,0.09785515344507793,bags,0.09785515344507793
Rachel,S02,julie,0.4001044438136363,sec,0.24396186827306499,happen,0.24396186827306499,ago,0.24396186827306499,welcome,0.20005222190681815,isn,0.20005222190681815,come,0.20005222190681815,silver,0.12198093413653249,listening,0.12198093413653249,paulo,0.12198093413653249
Phoebe,S02,person,0.3634548427323807,went,0.27259113204928553,bought,0.27259113204928553,huge,0.27259113204928553,bras,0.27259113204928553,face,0.18172742136619036,doesn,0.18172742136619036,pretty,0.18172742136619036,bigger,0.14901908516707646,rachel,0.14901908516707646
Monica,S02,excellent,0.42244639526844147,huh,0.281630930178961,hair,0.23094139153305346,moskowitz,0.1408154650894805,lunch,0.1408154650894805,expensive,0.1408154650894805,eddie,0.1408154650894805,question,0.1408154650894805,thought,0.1408154650894805,couldn,0.1408154650894805
