character,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10
Chandler,ring,0.42503183142341555,janice,0.3596423188967362,door,0.24521067197504742,bing,0.24521067197504742,sir,0.21251591571170778,richard,0.21251591571170778,run,0.21251591571170778,kathy,0.19616853758003794,unless,0.1634737813166983,tulsa,0.1634737813166983
Joey,audition,0.34861374829002684,doin,0.3237127662693106,tribbiani,0.2739108022278782,actor,0.21165834717608772,lives,0.1992078561657296,scene,0.17430687414501342,agent,0.17430687414501342,acting,0.1618563831346553,duck,0.1618563831346553,looked,0.14940589212429722
Ross,carol,0.3462882894815818,correct,0.31858522632305525,susan,0.26317910000600214,favorite,0.20777297368894906,incredible,0.18006991053042254,hanukkah,0.18006991053042254,elizabeth,0.18006991053042254,son,0.16621837895115926,feeling,0.16621837895115926,marcel,0.15236684737189599
Rachel,joshua,0.26910670285867816,barry,0.25415633047764047,ralph,0.2392059580966028,ugh,0.2392059580966028,cat,0.2392059580966028,tag,0.22425558571556511,lauren,0.20930521333452745,daddy,0.20930521333452745,amy,0.20930521333452745,blah,0.1943548409534898
Phoebe,frank,0.3601612606440382,massage,0.3601612606440382,yay,0.32224954899729735,buffay,0.2464261257038156,david,0.2464261257038156,set,0.18955855823370432,oooh,0.18955855823370432,exciting,0.18955855823370432,alice,0.18955855823370432,jack,0.18955855823370432
Monica,dress,0.26130983196739516,guest,0.26130983196739516,restaurant,0.2412090756622109,invited,0.2412090756622109,chef,0.22110831935702666,turkey,0.22110831935702666,boots,0.22110831935702666,boyfriend,0.22110831935702666,bucks,0.18090680674665816,list,0.18090680674665816
