character,season,mot_1,freq_1,mot_2,freq_2,mot_3,freq_3,mot_4,freq_4,mot_5,freq_5,mot_6,freq_6,mot_7,freq_7,mot_8,freq_8,mot_9,freq_9,mot_10,freq_10
Rachel,S06,yeah,65,hey,41,gonna,38,ross,31,god,24,wait,20,joey,20,uh,19,ohh,18,phoebe,16
Rachel,S07,yeah,72,uh,32,god,31,joey,30,hey,30,umm,29,gonna,29,phoebe,22,monica,21,ohh,18
Rachel,S08,yeah,61,gonna,44,ross,38,baby,26,god,24,hey,21,joey,18,wow,18,time,16,uh,14
Rachel,S09,yeah,42,gonna,39,hey,20,joey,20,emma,19,alright,16,guys,16,wow,14,god,13,love,12
Rachel,S10,yeah,42,gonna,31,ross,26,emma,22,guys,19,god,17,alright,13,wow,12,hey,10,time,10
Ross,S01,uh,51,yeah,41,hey,28,gonna,27,alright,21,fine,18,guys,13,baby,13,time,12,rachel,12
Ross,S02,julie,5,time,3,breast,3,milk,3,rach,3,yeah,3,bye,3,guys,2,uh,2,tomorrow,2
Ross,S03,yeah,85,hey,47,gonna,29,fine,17,huh,14,pick,12,rachel,12,time,11,guys,11,umm,10
Ross,S04,yeah,75,hey,54,uh,41,gonna,25,guys,24,emily,20,fine,16,correct,16,married,15,time,15
Ross,S05,yeah,56,hey,42,uh,29,gonna,24,emily,20,guys,20,huh,17,umm,14,pheebs,13,rach,11
Ross,S06,yeah,57,hey,53,uh,48,umm,25,gonna,18,guys,14,chandler,11,god,11,ohh,11,time,11
Ross,S07,uh,53,yeah,45,hey,36,gonna,20,umm,15,fine,13,ben,13,time,11,hanukkah,11,monica,10
Ross,S08,yeah,68,uh,66,hey,37,baby,22,umm,20,gonna,18,huh,14,time,14,fun,11,guy,10
Ross,S09,yeah,53,hey,31,uh,20,gonna,18,guys,18,fine,14,god,12,emma,11,joey,11,uhm,9
Ross,S10,hey,50,yeah,40,gonna,32,guys,21,rachel,14,god,13,fine,13,emma,10,guess,8,wanna,8
